censo,departamento,grupo_edad,hombres,mujeres,total_poblacion
2007,Cajamarca,15-19,72131,69288,141419
2007,Cajamarca,20-24,59610,61047,120657
2007,Cajamarca,25-29,51897,54244,106141
2007,Cajamarca,30-34,47208,47927,95135
2007,Cajamarca,35-39,42579,45410,87989
2007,Cajamarca,40-44,36884,37431,74315
2007,Cajamarca,45-49,30625,31811,62436
2007,Cajamarca,5-9,79557,77122,156679
2007,Cajamarca,50-54,24807,25507,50314
2007,Cajamarca,55-59,19400,20337,39737
2007,Cajamarca,60-64,17411,18018,35429
2007,Cajamarca,65-69,14168,14465,28633
2007,Cajamarca,70-74,11468,11756,23224
2007,Cajamarca,75-79,8498,8564,17062
2007,Cajamarca,80-84,4936,5525,10461
2007,Cajamarca,85-89,2894,3355,6249
2007,Cajamarca,90-94,919,1298,2217
2007,Cajamarca,95-99,531,956,1487
2017,Cajamarca,0-4,62490,60972,123462
2017,Cajamarca,10-14,69078,67516,136594
2017,Cajamarca,15-19,57159,55649,112808
