area_num,area_codigo,departamento,grupo_edad,hombres,mujeres,total_poblacion
23,AREA # 23,Tacna,40-44,9849,9687,19536
23,AREA # 23,Tacna,45-49,7708,7658,15366
23,AREA # 23,Tacna,5-9,12781,12255,25036
23,AREA # 23,Tacna,50-54,6542,6149,12691
23,AREA # 23,Tacna,55-59,4891,4575,9466
23,AREA # 23,Tacna,60-64,3657,3485,7142
23,AREA # 23,Tacna,65-69,2696,2479,5175
23,AREA # 23,Tacna,70-74,1979,1803,3782
23,AREA # 23,Tacna,75-79,1393,1367,2760
23,AREA # 23,Tacna,80-84,678,807,1485
23,AREA # 23,Tacna,85-89,411,465,876
23,AREA # 23,Tacna,90-94,132,202,334
23,AREA # 23,Tacna,95-99,78,126,204
24,AREA # 24,Tumbes,0-4,11183,10454,21637
24,AREA # 24,Tumbes,10-14,10246,9812,20058
24,AREA # 24,Tumbes,15-19,10773,9533,20306
24,AREA # 24,Tumbes,20-24,9993,9513,19506
24,AREA # 24,Tumbes,25-29,8950,8840,17790
24,AREA # 24,Tumbes,30-34,7936,7861,15797
24,AREA # 24,Tumbes,35-39,7409,7087,14496
24,AREA # 24,Tumbes,40-44,6643,6101,12744
24,AREA # 24,Tumbes,45-49,5615,4914,10529
24,AREA # 24,Tumbes,5-9,9716,9365,19081
24,AREA # 24,Tumbes,50-54,4580,3873,8453
24,AREA # 24,Tumbes,55-59,3114,2631,5745
24,AREA # 24,Tumbes,60-64,2305,2007,4312
24,AREA # 24,Tumbes,65-69,1647,1484,3131
24,AREA # 24,Tumbes,70-74,1418,1235,2653
24,AREA # 24,Tumbes,75-79,1076,911,1987
24,AREA # 24,Tumbes,80-84,588,472,1060
24,AREA # 24,Tumbes,85-89,338,331,669
24,AREA # 24,Tumbes,90-94,116,119,235
24,AREA # 24,Tumbes,95-99,57,60,117
25,AREA # 25,Ucayali,0-4,28608,27321,55929
25,AREA # 25,Ucayali,10-14,27883,26273,54156
